,0
912,0.07
913,-0.29
914,-0.68
915,-1.14
916,-1.59
917,-1.38
918,-1.66
919,-1.74
920,-2.03
921,-2.11
922,-1.73
923,-0.98
924,-0.71
925,-0.64
926,-0.16
927,-0.07
928,0.13
929,-0.08
930,-0.17
931,-0.31
932,-0.53
933,-1.39
934,-1.07
935,-1.43
936,-2.14
937,-2.04
938,-2.39
939,-4.25
940,-4.46
941,-4.62
942,-4.42
943,-4.32
944,-4.04
945,-3.75
946,-2.64
947,-1.18
948,-0.40
949,0.57
950,1.82
951,2.27
952,2.88
953,2.70
954,1.91
955,2.42
956,2.03
957,2.06
958,2.51
959,2.69
960,2.40
961,2.48
962,2.42
963,2.66
964,2.54
965,2.22
966,2.31
967,2.34
968,2.34
969,2.53
970,2.84
971,4.69
972,5.69
973,6.53
974,7.41
975,7.98
976,7.72
977,7.69
978,6.66
979,6.03
980,4.54
981,3.39
982,2.31
983,2.11
984,1.40
985,1.33
986,1.54
987,1.55
988,1.86
989,2.06
990,2.52
991,2.77
992,2.94
993,3.18
994,3.41
995,5.17
996,5.87
997,5.78
998,6.84
999,6.63
1000,6.99
1001,6.88
1002,6.84
1003,6.48
1004,6.66
1005,6.58
1006,6.66
1007,5.87
1008,5.88
1009,5.84
1010,5.76
1011,5.66
1012,5.72
1013,5.69
1014,5.81
1015,5.59
1016,5.52
1017,5.43
1018,6.03
1019,6.79
1020,8.81
1021,9.68
1022,9.36
1023,9.28
1024,9.01
1025,8.86
1026,8.72
1027,7.82
1028,6.85
1029,6.41
1030,5.48
1031,4.92
1032,5.13
1033,5.19
1034,5.84
1035,5.89
1036,6.33
1037,6.82
1038,7.46
1039,7.08
1040,7.53
1041,7.26
1042,7.41
1043,7.68
1044,8.13
1045,8.93
1046,8.76
1047,8.82
1048,9.01
1049,8.72
1050,8.57
1051,8.18
1052,8.14
1053,8.02
1054,7.98
1055,7.85
1056,7.43
1057,7.33
1058,7.24
1059,7.30
1060,7.18
1061,7.03
1062,6.93
1063,6.67
1064,6.82
1065,7.22
1066,7.24
1067,7.90
1068,8.43
1069,8.84
1070,8.93
1071,9.28
1072,9.11
1073,8.99
1074,8.51
1075,7.61
1076,7.93
1077,5.93
1078,5.75
1079,5.72
1080,6.03
1081,5.97
1082,5.98
1083,6.69
1084,6.33
1085,6.30
1086,6.52
1087,6.77
1088,6.91
1089,7.22
1090,7.72
1091,8.93
1092,8.93
1093,10.29
1094,10.61
1095,10.86
1096,11.34
1097,11.27
1098,11.18
1099,10.49
1100,10.51
1101,10.29
1102,10.29
1103,10.24
1104,9.91
1105,9.79
1106,9.49
1107,9.57
1108,9.45
1109,9.20
1110,9.14
1111,9.15
1112,9.28
1113,9.37
1114,9.34
1115,9.59
1116,9.74
1117,9.83
1118,10.03
1119,10.56
1120,10.02
1121,9.95
1122,9.86
1123,9.79
1124,9.16
1125,8.86
1126,8.88
1127,9.27
1128,8.85
1129,8.78
1130,8.66
1131,8.42
1132,7.64
1133,6.31
1134,5.54
1135,4.44
1136,4.82
1137,4.29
1138,5.56
1139,6.56
1140,7.66
1141,8.57
1142,9.80
1143,10.04
1144,10.07
1145,9.64
1146,8.51
1147,7.76
1148,7.17
1149,6.73
1150,6.15
1151,5.27
1152,4.68
1153,5.30
1154,4.75
1155,4.30
1156,4.29
1157,3.78
1158,3.06
1159,3.06
1160,2.89
1161,2.96
1162,4.65
1163,5.72
1164,7.05
1165,7.85
1166,9.34
1167,10.44
1168,10.76
1169,10.56
1170,9.77
1171,8.49
1172,7.69
1173,6.71
1174,5.73
1175,5.38
1176,4.67
1177,5.45
1178,5.27
1179,5.17
1180,5.63
1181,6.03
1182,5.68
1183,5.61
1184,5.78
1185,5.97
1186,5.71
1187,5.72
1188,5.92
1189,5.95
1190,6.43
1191,6.34
1192,6.37
1193,6.34
1194,6.17
1195,5.64
1196,5.61
1197,5.77
1198,5.16
1199,4.91
1200,4.62
1201,4.47
1202,4.45
1203,4.26
1204,4.11
1205,4.11
1206,4.10
1207,4.00
1208,4.13
1209,4.13
1210,4.54
1211,4.76
1212,5.32
1213,5.84
1214,6.82
1215,6.75
1216,6.74
1217,6.61
1218,6.03
1219,5.98
1220,5.67
1221,5.78
1222,5.04
1223,4.51
1224,3.74
1225,3.37
1226,2.85
1227,2.36
1228,1.98
1229,1.93
1230,1.24
1231,1.33
1232,0.94
1233,0.74
1234,1.22
1235,2.01
1236,2.76
1237,2.73
1238,3.37
1239,3.59
1240,3.76
1241,3.79
1242,3.07
1243,2.81
1244,2.26
1245,2.02
1246,0.84
1247,1.21
1248,2.04
1249,1.78
1250,2.02
1251,2.34
1252,2.73
1253,3.42
1254,4.62
1255,5.79
1256,6.63
1257,7.27
1258,7.96
1259,8.59
1260,9.31
1261,9.81
1262,10.16
1263,9.93
1264,9.59
1265,8.14
1266,8.38
1267,7.38
1268,6.57
1269,6.68
1270,5.63
1271,5.27
1272,4.87
1273,4.79
1274,4.79
1275,3.97
1276,4.19
1277,3.95
1278,4.29
1279,3.85
1280,3.79
1281,4.43
1282,4.84
1283,6.08
1284,7.43
1285,8.10
1286,8.68
1287,9.05
1288,9.82
1289,9.67
1290,8.87
1291,8.36
1292,7.84
1293,7.73
1294,7.82
1295,7.93
1296,7.78
1297,7.22
1298,6.69
1299,6.10
1300,6.18
1301,5.94
1302,5.93
1303,6.11
1304,6.45
1305,6.84
1306,7.56
1307,8.21
1308,9.59
1309,10.78
1310,11.73
1311,12.09
1312,12.30
1313,11.94
1314,10.97
1315,10.22
1316,9.64
1317,9.63
1318,9.19
1319,8.78
1320,9.03
1321,9.20
1322,8.88
1323,8.79
1324,8.97
1325,9.08
1326,9.97
1327,9.89
1328,9.89
1329,9.60
1330,10.01
1331,9.87
1332,9.53
1333,11.60
1334,12.67
1335,11.55
1336,11.43
1337,11.16
1338,10.92
1339,10.82
1340,10.32
1341,10.80
1342,10.47
1343,10.28
1344,9.02
1345,8.76
1346,8.84
1347,8.68
1348,9.08
1349,9.65
1350,10.37
1351,11.03
1352,10.57
1353,10.18
1354,10.36
1355,10.55
1356,10.96
1357,11.43
1358,11.59
1359,11.71
1360,11.09
1361,9.83
1362,9.50
1363,8.72
1364,8.83
1365,8.70
1366,8.43
1367,8.33
1368,7.94
1369,8.33
1370,8.41
1371,8.27
1372,8.07
1373,8.16
1374,7.89
1375,7.83
1376,7.66
1377,8.09
1378,8.39
1379,9.08
1380,9.48
1381,10.01
1382,10.68
1383,10.76
1384,10.29
1385,10.21
1386,9.57
1387,9.26
1388,8.84
1389,8.39
1390,8.62
1391,8.89
1392,8.88
1393,8.25
1394,8.10
